,title,artist,rank,date,weeks
5611,Do Unto Me,James & Bobby Purify,85,1968-01-08,1
5612,Carmen,Herb Alpert & The Tijuana Brass,86,1968-01-08,1
5613,Without Love (There Is Nothing),"Oscar Toney, Jr.",96,1968-01-08,1
5614,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,97,1968-01-08,1
5615,Let The Heartaches Begin,Long John Baldry,98,1968-01-08,1
5616,Expecting To Fly,Buffalo Springfield,99,1968-01-08,1
5617,Funky Way,Calvin Arnold,100,1968-01-08,1
5618,(Theme From) Valley Of The Dolls,Dionne Warwick,77,1968-01-15,1
5619,Words,Bee Gees,79,1968-01-15,1
5620,Strawberry Shortcake,Jay And The Techniques,80,1968-01-15,1
5621,There Was A Time,James Brown And The Famous Flames,81,1968-01-15,1
5622,There Is,The Dells,82,1968-01-15,1
5623,Hey Little One,Glen Campbell,85,1968-01-15,1
5624,Looking For A Fox,Clarence Carter,91,1968-01-15,1
5625,Hey Boy Take A Chance On Love,Ruby Andrews,92,1968-01-15,1
5626,Give My Love A Try,Linda Jones,94,1968-01-15,1
5627,To Each His Own,Frankie Laine,96,1968-01-15,1
5628,Blessed Are The Lonely,Robert Knight,97,1968-01-15,1
5629,(Sittin' On) The Dock Of The Bay,Otis Redding,67,1968-01-22,1
5630,I Thank You,Sam & Dave,72,1968-01-22,1
5631,Simon Says,1910 Fruitgum Co.,77,1968-01-22,1
5632,Get Out Now,Tommy James And The Shondells,81,1968-01-22,1
5633,Stop,Howard Tate,82,1968-01-22,1
5634,Guitar Man,Elvis Presley,83,1968-01-22,1
5635,A Million To One,Five Stairsteps & Cubie,84,1968-01-22,1
5636,Malayisha,Miriam Makeba,85,1968-01-22,1
5637,Rosanna's Going Wild,Johnny Cash,91,1968-01-22,1
5638,Cab Driver,The Mills Brothers,92,1968-01-22,1
5639,7:30 Guided Tour,The Five Americans,96,1968-01-22,1
5640,No One Knows,Every Mothers' Son,99,1968-01-22,1
5641,Keep The Ball Rollin',Al Hirt,100,1968-01-22,1
5642,Everything That Touches You,The Association,62,1968-01-29,1
5643,Walk Away Renee,Four Tops,71,1968-01-29,1
5644,Cold Feet,Albert King,87,1968-01-29,1
5645,Burning Spear,The Soulful Strings,88,1968-01-29,1
5646,Try It,Ohio Express,90,1968-01-29,1
5647,La - La - Means I Love You,The Delfonics,92,1968-01-29,1
5648,People World,Jim & Jean,95,1968-01-29,1
5649,Carpet Man,The 5th Dimension,97,1968-01-29,1
5650,It's Not Easy,The Will-O-Bees,98,1968-01-29,1
5651,(You've Got) Personality And Chantilly Lace,Mitch Ryder,100,1968-01-29,1
5652,Just Dropped In (To See What Condition My Condition Was In),The First Edition,63,1968-02-05,1
5653,"Look, Here Comes The Sun",The Sunshine Company,67,1968-02-05,1
5654,The End Of Our Road,Gladys Knight And The Pips,68,1968-02-05,1
5655,Dance To The Music,Sly & The Family Stone,72,1968-02-05,1
5656,Love Is Blue,Al Martino,73,1968-02-05,1
5657,Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,76,1968-02-05,1
5658,"Here Comes The Rain, Baby",Eddy Arnold,82,1968-02-05,1
5659,Thank U Very Much,The Scaffold,84,1968-02-05,1
5660,I'm Gonna Make You Love Me,Madeline Bell,89,1968-02-05,1
5661,Maybe Just Today,Bobby Vee And The Strangers,90,1968-02-05,1
5662,Where Is My Mind,The Vanilla Fudge,92,1968-02-05,1
5663,You Don't Have To Say You Love Me,The Four Sonics,93,1968-02-05,1
5664,Lovey Dovey,Otis & Carla,94,1968-02-05,1
5665,Men Are Gettin' Scarce,Joe Tex,98,1968-02-05,1
5666,Got What You Need,The Fantastic Johnny C,99,1968-02-05,1
5667,Gentle On My Mind,Patti Page,100,1968-02-05,1
5668,Country Girl - City Man,Billy Vera & Judy Clay,62,1968-02-12,1
5669,The Ballad Of Bonnie And Clyde,Georgie Fame,63,1968-02-12,1
5670,For Your Precious Love,Jackie Wilson & Count Basie,71,1968-02-12,1
5671,In The Midnight Hour,The Mirettes,73,1968-02-12,1
5672,This Is The Thanks I Get,Barbara Lynn,74,1968-02-12,1
5673,Jealous Love,Wilson Pickett,78,1968-02-12,1
5674,Night Fo' Last,Shorty Long,79,1968-02-12,1
5675,I Say Love,The Royal Guardsmen,80,1968-02-12,1
5676,Unchain My Heart,Herbie Mann,81,1968-02-12,1
5677,Kiss Me Goodbye,Petula Clark,82,1968-02-12,1
5678,Playboy,Gene And Debbe,84,1968-02-12,1
5679,"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,91,1968-02-12,1
5680,If You Ever Leave Me,Jack Jones,92,1968-02-12,1
5681,Love Explosion,Troy Keyes,93,1968-02-12,1
5682,"The Good, The Bad And The Ugly","Hugo Montenegro, His Orchestra And Chorus",97,1968-02-12,1
5683,I'm Hypnotized,Anthony & The Imperials,98,1968-02-12,1
5684,Music Music Music,The Happenings,99,1968-02-12,1
5685,Suddenly You Love Me,The Tremeloes,100,1968-02-12,1
5686,A Question Of Temperature,The Balloon Farm,66,1968-02-19,1
5687,Will You Love Me Tomorrow,"The 4 Seasons Featuring the ""Sound of Frankie Valli""",78,1968-02-19,1
5688,The Ten Commandments Of Love,Peaches & Herb,80,1968-02-19,1
5689,Soulville,Aretha Franklin,84,1968-02-19,1
5690,If You Can Want,Smokey Robinson & The Miracles,85,1968-02-19,1
5691,That's A Lie,Ray Charles,86,1968-02-19,1
5692,The Son Of Hickory Holler's Tramp,O.C. Smith,88,1968-02-19,1
5693,Hey Hey Bunny,John Fred And The Playboys,89,1968-02-19,1
5694,Green Light,The American Breed,90,1968-02-19,1
5695,Springfield Plane,Kenny O'Dell,94,1968-02-19,1
5696,Love Is Blue (L'Amour Est Bleu),Claudine Longet,97,1968-02-19,1
5697,Love Is All Around,The Troggs,98,1968-02-19,1
5698,Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra,99,1968-02-19,1
5699,Love Is Blue (L'Amour Est Bleu),Manny Kellem - His Orchestra And Voices,100,1968-02-19,1
5700,(Sweet Sweet Baby) Since You've Been Gone,Aretha Franklin,31,1968-02-26,1
5701,Cry Like A Baby,The Box Tops,60,1968-02-26,1
5702,Scarborough Fair (/Canticle),Simon & Garfunkel,61,1968-02-26,1
5703,Little Green Apples,Roger Miller,65,1968-02-26,1
5704,Mighty Quinn (Quinn The Eskimo),Manfred Mann,68,1968-02-26,1
5705,If This World Were Mine,Marvin Gaye & Tammi Terrell,81,1968-02-26,1
5706,Security,Etta James,84,1968-02-26,1
5707,L. David Sloane,Michele Lee,86,1968-02-26,1
5708,Young Girl,The Union Gap Featuring Gary Puckett,87,1968-02-26,1
5709,Sweet Inspiration,The Sweet Inspirations,88,1968-02-26,1
5710,Summertime Blues,Blue Cheer,89,1968-02-26,1
5711,Sound Asleep,The Turtles,90,1968-02-26,1
5712,Funky North Philly,Bill Cosby,91,1968-02-26,1
5713,Foggy Mountain Breakdown,Flatt & Scruggs,95,1968-02-26,1
5714,Dear Delilah,Grapefruit,98,1968-02-26,1
5715,Sally Was A Good Old Girl,Trini Lopez,99,1968-02-26,1
5716,You've Got To Be Loved,The Montanas,100,1968-02-26,1
5717,Valleri,The Monkees,24,1968-03-04,1
5718,Tapioca Tundra,The Monkees,73,1968-03-04,1
5719,Soul Serenade,Willie Mitchell,74,1968-03-04,1
5720,Rice Is Nice,The Lemon Pipers,84,1968-03-04,1
5721,I'll Say Forever My Love,Jimmy Ruffin,85,1968-03-04,1
5722,Jennifer Juniper,Donovan,88,1968-03-04,1
5723,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,89,1968-03-04,1
5724,Back On My Feet Again,The Foundations,90,1968-03-04,1
5725,Turn On Your Love Light,The Human Beinz,92,1968-03-04,1
5726,(You Can't Let The Boy Overpower) The Man In You,Chuck Jackson,94,1968-03-04,1
5727,Driftin' Blues,Bobby Bland,96,1968-03-04,1
5728,Have A Little Faith,David Houston,98,1968-03-04,1
5729,Lovey Dovey Kinda Lovin',Brenton Wood,100,1968-03-04,1
5730,I Got The Feelin',James Brown And The Famous Flames,63,1968-03-11,1
5731,Forever Came Today,Diana Ross & The Supremes,70,1968-03-11,1
5732,Take Time To Know Her,Percy Sledge,74,1968-03-11,1
5733,Sit With The Guru,Strawberry Alarm Clock,75,1968-03-11,1
5734,Jennifer Eccles,The Hollies,76,1968-03-11,1
5735,Funky Street,Arthur Conley,77,1968-03-11,1
5736,Tin Soldier,Small Faces,78,1968-03-11,1
5737,Stay Away,Elvis Presley With The Jordanaires,83,1968-03-11,1
5738,In Need Of A Friend,The Cowsills,84,1968-03-11,1
5739,Baby You're So Right For Me,Brenda & The Tabulations,87,1968-03-11,1
5740,1941,Tom Northcott,88,1968-03-11,1
5741,At The Top Of The Stairs,The Formations,89,1968-03-11,1
5742,The Impossible Dream,The Hesitations,90,1968-03-11,1
5743,The Father Of Girls,Perry Como,92,1968-03-11,1
5744,Up From The Skies,The Jimi Hendrix Experience,94,1968-03-11,1
5745,Dr. Jon (The Medicine Man),Jon & Robin And The In Crowd,95,1968-03-11,1
5746,Delilah,Tom Jones,97,1968-03-11,1
5747,In Some Time,Ronnie Dove,100,1968-03-11,1
5748,Lady Madonna,The Beatles,23,1968-03-18,1
5749,Honey,Bobby Goldsboro,64,1968-03-18,1
5750,U.S. Male,Elvis Presley With The Jordanaires,75,1968-03-18,1
5751,The Unicorn,The Irish Rovers,77,1968-03-18,1
5752,Come To Me Softly,Jimmy James & The Vagabonds,84,1968-03-18,1
5753,Cowboys To Girls,The Intruders,87,1968-03-18,1
5754,You've Still Got A Place In My Heart,Dean Martin,90,1968-03-18,1
5755,"Me, The Peaceful Heart",Lulu,91,1968-03-18,1
5756,100 Years,Nancy Sinatra,97,1968-03-18,1
5757,Sherry Don't Go,The Lettermen,98,1968-03-18,1
5758,She'll Be There,Vikki Carr,100,1968-03-18,1
5759,The Unknown Soldier,The Doors,79,1968-03-25,1
5760,Call Me Lightning,The Who,80,1968-03-25,1
5761,Tighten Up,Archie Bell & The Drells,81,1968-03-25,1
5762,Take Good Care Of My Baby,Bobby Vinton,84,1968-03-25,1
5763,Cinderella Rockefella,Esther & Abi Ofarim,90,1968-03-25,1
5764,Show Time,Detroit Emeralds,91,1968-03-25,1
5765,Your Heart Is Free Just Like The Wind,Vikki Carr,92,1968-03-25,1
5766,Up To My Neck In High Muddy Water,Linda Ronstadt & The Stone Poneys,93,1968-03-25,1
5767,Master Jack,Four Jacks And A Jill,94,1968-03-25,1
5768,I Will Always Think About You,The New Colony Six,95,1968-03-25,1
5769,The Inner Light,The Beatles,96,1968-03-25,1
5770,Another Place Another Time,Jerry Lee Lewis,98,1968-03-25,1
5771,Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart,70,1968-04-01,1
5772,Shoo-Be-Doo-Be-Doo-Da-Day,Stevie Wonder,74,1968-04-01,1
5773,Look To Your Soul,Johnny Rivers,75,1968-04-01,1
5774,Ain't No Way,Aretha Franklin,78,1968-04-01,1
5775,I Got A Sure Thing,Ollie & The Nightingales,83,1968-04-01,1
5776,Up On The Roof,The Cryan' Shames,86,1968-04-01,1
5777,I Wanna Live,Glen Campbell,88,1968-04-01,1
5778,Jumbo,Bee Gees,90,1968-04-01,1
5779,Mony Mony,Tommy James And The Shondells,95,1968-04-01,1
5780,I Love You,People,96,1968-04-01,1
5781,Chain Of Fools (Part 1),Jimmy Smith,100,1968-04-01,1
5782,A Beautiful Morning,The Rascals,56,1968-04-08,1
5783,She's Lookin' Good,Wilson Pickett,66,1968-04-08,1
5784,Red Red Wine,Neil Diamond,73,1968-04-08,1
5785,Ain't Nothing Like The Real Thing,Marvin Gaye & Tammi Terrell,75,1968-04-08,1
5786,Wear It On Our Face,The Dells,82,1968-04-08,1
5787,Do You Know The Way To San José,Dionne Warwick,84,1968-04-08,1
5788,I Can't Believe I'm Losing You,Frank Sinatra,87,1968-04-08,1
5789,(You Keep Me) Hangin' On,Joe Simon,88,1968-04-08,1
5790,Funky Walk Part I (East),Dyke And The Blazers,89,1968-04-08,1
5791,Loving You Has Made Me Bananas,Guy Marks,90,1968-04-08,1
5792,If You Don't Want My Love,Robert John,94,1968-04-08,1
5793,Anything,Eric Burdon & The Animals,96,1968-04-08,1
5794,Goin' Away,The Fireballs,98,1968-04-08,1
5795,Baby Make Your Own Sweet Music,Jay And The Techniques,99,1968-04-08,1
5796,Like To Get To Know You,Spanky And Our Gang,71,1968-04-15,1
5797,Impossible Mission (Mission Impossible),Soul Survivors,72,1968-04-15,1
5798,Paying The Cost To Be The Boss,B.B. King,73,1968-04-15,1
5799,We're Rolling On (Part I),The Impressions,78,1968-04-15,1
5800,My Girl/Hey Girl,Bobby Vee,82,1968-04-15,1
5801,Cabaret,Herb Alpert & The Tijuana Brass,83,1968-04-15,1
5802,I Promise To Wait My Love,Martha Reeves & The Vandellas,84,1968-04-15,1
5803,May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.,86,1968-04-15,1
5804,You'll Never Walk Alone,Elvis Presley With The Jordanaires,90,1968-04-15,1
5805,Love In Them There Hills,The Vibrations,93,1968-04-15,1
5806,The Shadow Of Your Love,5 Stairsteps and Cubie,94,1968-04-15,1
5807,Never Get Enough Of Your Love,"Oscar Toney, Jr.",95,1968-04-15,1
5808,Friends,The Beach Boys,96,1968-04-15,1
5809,Does Your Mama Know About Me,Bobby Taylor & The Vancouvers,97,1968-04-15,1
5810,Greasy Heart,Jefferson Airplane,98,1968-04-15,1
5811,Unwind,Ray Stevens,99,1968-04-15,1
5812,Louisiana Man,Bobbie Gentry,100,1968-04-15,1
5813,Mrs. Robinson,Simon & Garfunkel,58,1968-04-22,1
5814,Chain Gang,Jackie Wilson & Count Basie,86,1968-04-22,1
5815,The Happy Song (Dum-Dum),Otis Redding,87,1968-04-22,1
5816,I'm Sorry,The Delfonics,92,1968-04-22,1
5817,I Can Remember,James & Bobby Purify,94,1968-04-22,1
5818,Lili Marlene,Al Martino,96,1968-04-22,1
5819,If I Were A Carpenter,Four Tops,99,1968-04-22,1
5820,A Tribute To A King,William Bell,100,1968-04-22,1
5821,I Could Never Love Another (After Loving You),The Temptations,87,1968-04-29,1
5822,Yummy Yummy Yummy,Ohio Express,88,1968-04-29,1
5823,Soul Train,Classics IV,90,1968-04-29,1
5824,Never Give You Up,Jerry Butler,91,1968-04-29,1
5825,I Have A Dream,"Rev. Martin Luther King, Jr.",92,1968-04-29,1
5826,He Don't Really Love You,The Delfonics,93,1968-04-29,1
5827,I Wish I Knew (How It Would Feel To Be Free),Solomon Burke,95,1968-04-29,1
5828,Angel Of The Morning,Merrilee Rush & The Turnabouts,97,1968-04-29,1
5829,Here's To You,Hamilton Camp,99,1968-04-29,1
5830,How'd We Ever Get This Way,Andy Kim,100,1968-04-29,1
5831,The Look Of Love,Sergio Mendes & Brasil '66,77,1968-05-06,1
5832,MacArthur Park,Richard Harris,79,1968-05-06,1
5833,Love In Every Room,Paul Mauriat And His Orchestra,81,1968-05-06,1
5834,A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,87,1968-05-06,1
5835,You Ain't Going Nowhere,The Byrds,93,1968-05-06,1
5836,Sleepy Joe,Herman's Hermits,95,1968-05-06,1
5837,"Face It Girl, It's Over",Nancy Wilson,96,1968-05-06,1
5838,Apologize,Ed Ames,97,1968-05-06,1
5839,Brooklyn Roads,Neil Diamond,98,1968-05-06,1
5840,Anyone For Tennis,Cream,99,1968-05-06,1
5841,She's A Heartbreaker,Gene Pitney,100,1968-05-06,1
5842,Think,Aretha Franklin,67,1968-05-13,1
5843,Jelly Jungle (Of Orange Marmalade),Lemon Pipers,70,1968-05-13,1
5844,This Guy's In Love With You,Herb Alpert,72,1968-05-13,1
5845,Time For Livin',The Association,73,1968-05-13,1
5846,I'll Never Do You Wrong,Joe Tex,81,1968-05-13,1
5847,Tip-Toe Thru' The Tulips With Me,Tiny Tim,83,1968-05-13,1
5848,My Shy Violet,The Mills Brothers,84,1968-05-13,1
5849,I Got You Babe,Etta James,88,1968-05-13,1
5850,United,Peaches & Herb,89,1968-05-13,1
5851,It's Over,Eddy Arnold,96,1968-05-13,1
5852,Reach Out Of The Darkness,Friend And Lover,97,1968-05-13,1
5853,I Can't Make It Alone,Bill Medley,98,1968-05-13,1
5854,Pictures Of Matchstick Men,The Status Quo,99,1968-05-13,1
5855,The Doctor,Mary Wells,100,1968-05-13,1
5856,The Horse,Cliff Nobles & Co.,71,1968-05-20,1
5857,Licking Stick - Licking Stick (Part 1),James Brown And The Famous Flames,75,1968-05-20,1
5858,You Don't Know What You Mean To Me,Sam & Dave,77,1968-05-20,1
5859,America Is My Home - Pt. 1,James Brown And The Famous Flames,89,1968-05-20,1
5860,Climb Every Mountain,The Hesitations,90,1968-05-20,1
5861,Hold On,Radiants,93,1968-05-20,1
5862,Lonely Is The Name,Sammy Davis Jr.,94,1968-05-20,1
5863,Folsom Prison Blues,Johnny Cash,96,1968-05-20,1
5864,Bring A Little Lovin',Los Bravos,97,1968-05-20,1
5865,Don't Sign The Paper Baby (I Want You Back),Jimmy Delphs,99,1968-05-20,1
5866,"Ready, Willing and Able",The American Breed,100,1968-05-20,1
5867,Choo Choo Train,The Box Tops,62,1968-05-27,1
5868,Yester Love,Smokey Robinson & The Miracles,73,1968-05-27,1
5869,Indian Lake,The Cowsills,79,1968-05-27,1
5870,Here Comes The Judge,Shorty Long,83,1968-05-27,1
5871,Sky Pilot (Part One),Eric Burdon & The Animals,86,1968-05-27,1
5872,San Francisco Girls (Return of the Native),Fever Tree,91,1968-05-27,1
5873,Here Come Da Judge,The Buena Vistas,94,1968-05-27,1
5874,Stoned Soul Picnic,The 5th Dimension,95,1968-05-27,1
5875,Funky Fever,Clarence Carter,96,1968-05-27,1
5876,Ain't Nothin' But A House Party,The Show Stoppers,97,1968-05-27,1
5877,Here Come The Judge,The Magistrates,100,1968-05-27,1
5878,Jumpin' Jack Flash,The Rolling Stones,62,1968-06-03,1
5879,Some Things You Never Get Used To,Diana Ross & The Supremes,63,1968-06-03,1
5880,Lady Willpower,Gary Puckett And The Union Gap,64,1968-06-03,1
5881,It Should Have Been Me,Gladys Knight And The Pips,66,1968-06-03,1
5882,Back In Love Again,The Buckinghams,78,1968-06-03,1
5883,Safe In My Garden,The Mamas & The Papas,79,1968-06-03,1
5884,Mountain Of Love,Ronnie Dove,81,1968-06-03,1
5885,Grazing In The Grass,Hugh Masekela,83,1968-06-03,1
5886,Here I Am Baby,The Marvelettes,85,1968-06-03,1
5887,Eleanor Rigby,Ray Charles,86,1968-06-03,1
5888,Lover's Holiday,Peggy Scott & Jo Jo Benson,87,1968-06-03,1
5889,Let Me Be Lonely,Dionne Warwick,93,1968-06-03,1
5890,Baby You Come Rollin' Across My Mind,The Peppermint Trolley Company,95,1968-06-03,1
5891,Sweet Memories,Andy Williams,96,1968-06-03,1
5892,Congratulations,Cliff Richard,100,1968-06-03,1
5893,D. W. Washburn,The Monkees,61,1968-06-10,1
5894,You Send Me,Aretha Franklin,81,1968-06-10,1
5895,Here Comes The Judge,Pigmeat Markham,82,1968-06-10,1
5896,It's Nice To Be With You,The Monkees,84,1968-06-10,1
5897,Understanding,Ray Charles,87,1968-06-10,1
5898,Can't You See Me Cry,The New Colony Six,90,1968-06-10,1
5899,Let Yourself Go,Elvis Presley With The Jordanaires,94,1968-06-10,1
5900,"Turn Around, Look At Me",The Vogues,95,1968-06-10,1
5901,Listen Here,Eddie Harris,97,1968-06-10,1
5902,Forget Me Not,Martha Reeves & The Vandellas,98,1968-06-10,1
5903,Valley Of The Dolls,King Curtis & The Kingpins,99,1968-06-10,1
5904,People Sure Act Funny,Arthur Conley,71,1968-06-17,1
5905,The Story Of Rock And Roll,The Turtles,72,1968-06-17,1
5906,Hurdy Gurdy Man,Donovan,76,1968-06-17,1
5907,Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay,77,1968-06-17,1
5908,"Be Young, Be Foolish, Be Happy",The Tams,80,1968-06-17,1
5909,Turn On Your Love Light,Bill Black's Combo,85,1968-06-17,1
5910,D-I-V-O-R-C-E,Tammy Wynette,89,1968-06-17,1
5911,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,90,1968-06-17,1
5912,Young Boy,Barbara Greene,91,1968-06-17,1
5913,"Your Time Hasn't Come Yet, Baby",Elvis Presley With The Jordanaires,92,1968-06-17,1
5914,Classical Gas,Mason Williams,93,1968-06-17,1
5915,I'm A Midnight Mover,Wilson Pickett,95,1968-06-17,1
5916,The Eyes Of A New York Woman,B.J. Thomas,96,1968-06-17,1
5917,Sealed With A Kiss,Gary Lewis And The Playboys,97,1968-06-17,1
5918,Young Birds Fly,The Cryan' Shames,100,1968-06-17,1
5919,Hitch It To The Horse,The Fantastic Johnny C,73,1968-06-24,1
5920,With Pen In Hand,Billy Vera,82,1968-06-24,1
5921,Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus",87,1968-06-24,1
5922,Stay In My Corner,The Dells,89,1968-06-24,1
5923,Autumn Of My Life,Bobby Goldsboro,90,1968-06-24,1
5924,Dreams Of The Everyday Housewife,Wayne Newton,94,1968-06-24,1
5925,Look Over Your Shoulder,The O'Jays,95,1968-06-24,1
5926,Competition Ain't Nothin',Little Carl Carlton,97,1968-06-24,1
5927,Journey To The Center Of The Mind,The Amboy Dukes,98,1968-06-24,1
5928,Lovin' Season,Gene And Debbe,100,1968-06-24,1
5929,Dreams Of The Everyday Housewife,Glen Campbell,73,1968-07-01,1
5930,"Hello, I Love You",The Doors,77,1968-07-01,1
5931,Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,88,1968-07-01,1
5932,Amen,Otis Redding,91,1968-07-01,1
5933,Georgia On My Mind,Wes Montgomery,92,1968-07-01,1
5934,To Love Somebody,The Sweet Inspirations,93,1968-07-01,1
5935,Dream A Little Dream Of Me,Mama Cass With The Mamas & The Papas,94,1968-07-01,1
5936,What's Made Milwaukee Famous (Has Made A Loser Out Of Me),Jerry Lee Lewis,95,1968-07-01,1
5937,Just A Little Bit,Blue Cheer,97,1968-07-01,1
5938,Little Green Apples,Patti Page,98,1968-07-01,1
5939,(Love Is Like A) Baseball Game,The Intruders,99,1968-07-01,1
5940,Send My Baby Back,Freddie Hughes,100,1968-07-01,1
5941,Born To Be Wild,Steppenwolf,70,1968-07-08,1
5942,The Impossible Dream,Roger Williams,77,1968-07-08,1
5943,Soul-Limbo,Booker T. & The MG's,84,1968-07-08,1
5944,Prayer Meetin',Willie Mitchell,86,1968-07-08,1
5945,Hard To Handle,Otis Redding,88,1968-07-08,1
5946,Snoopy For President,The Royal Guardsmen,89,1968-07-08,1
5947,Mrs. Bluebird,Eternity's Children,94,1968-07-08,1
5948,Slip Away,Clarence Carter,97,1968-07-08,1
5949,Love Makes A Woman,Barbara Acklin,98,1968-07-08,1
5950,Two-Bit Manchild,Neil Diamond,99,1968-07-08,1
5951,People Got To Be Free,The Rascals,64,1968-07-15,1
5952,Halfway To Paradise,Bobby Vinton,65,1968-07-15,1
5953,You Met Your Match,Stevie Wonder,73,1968-07-15,1
5954,I Can't Stop Dancing,Archie Bell & The Drells,78,1968-07-15,1
5955,God Bless Our Love,The Ballads,87,1968-07-15,1
5956,Don't Give Up,Petula Clark,88,1968-07-15,1
5957,I Get The Sweetest Feeling,Jackie Wilson,90,1968-07-15,1
5958,And Suddenly,The Cherry People,95,1968-07-15,1
5959,Yesterday's Dreams,Four Tops,96,1968-07-15,1
5960,I Loved And I Lost,The Impressions,97,1968-07-15,1
5961,Tuesday Afternoon (Forever Afternoon),The Moody Blues,98,1968-07-15,1
5962,Give Me One More Chance,Wilmer And The Dukes,100,1968-07-15,1
5963,Light My Fire,Jose Feliciano,62,1968-07-22,1
5964,"I Guess I'll Have To Cry, Cry, Cry",James Brown And The Famous Flames,77,1968-07-22,1
5965,Happy,Nancy Sinatra,79,1968-07-22,1
5966,You're All I Need To Get By,Marvin Gaye & Tammi Terrell,80,1968-07-22,1
5967,"1, 2, 3, Red Light",1910 Fruitgum Co.,84,1968-07-22,1
5968,Breaking Up Is Hard To Do,The Happenings,86,1968-07-22,1
5969,Do It Again,The Beach Boys,88,1968-07-22,1
5970,Somebody Cares,Tommy James And The Shondells,90,1968-07-22,1
5971,I've Never Found A Girl (To Love Me Like You Do),Eddie Floyd,91,1968-07-22,1
5972,Life,Sly & The Family Stone,93,1968-07-22,1
5973,I'm Gonna Do What They Do To Me,B.B. King,94,1968-07-22,1
5974,Mr. Bojangles,Jerry Jeff Walker,96,1968-07-22,1
5975,Never Going Back,The Lovin' Spoonful,98,1968-07-22,1
5976,Soul Meeting,The Soul Clan,99,1968-07-22,1
5977,Brown Eyed Woman,Bill Medley,80,1968-07-29,1
5978,Please Return Your Love To Me,The Temptations,83,1968-07-29,1
5979,Can't You Find Another Way (Of Doing It),Sam & Dave,86,1968-07-29,1
5980,Mister Bo Jangles,Bobby Cole,88,1968-07-29,1
5981,Down At Lulu's,Ohio Express,89,1968-07-29,1
5982,Mr. Businessman,Ray Stevens,90,1968-07-29,1
5983,Girls Can't Do What The Guys Do,Betty Wright,91,1968-07-29,1
5984,Anyway That You Want Me,The American Breed,92,1968-07-29,1
5985,Give A Damn,Spanky And Our Gang,95,1968-07-29,1
5986,Workin' On A Groovy Thing,Patti Drew,96,1968-07-29,1
5987,Sudden Stop,Percy Sledge,97,1968-07-29,1
5988,Montage From How Sweet It Is (I Know That You Know),The Love Generation,99,1968-07-29,1
5989,Sally Had A Party,Flavor,100,1968-07-29,1
5990,The Fool On The Hill,Sergio Mendes & Brasil '66,61,1968-08-05,1
5991,Morning Dew,Lulu,71,1968-08-05,1
5992,Keep The One You Got,Joe Tex,72,1968-08-05,1
5993,Magic Bus,The Who,83,1968-08-05,1
5994,Hip City - Pt. 2,Jr. Walker & The All Stars,85,1968-08-05,1
5995,I Heard It Thru The Grapevine,King Curtis & The Kingpins,89,1968-08-05,1
5996,I Can't Dance To That Music You're Playin',Martha Reeves & The Vandellas,90,1968-08-05,1
5997,I Am Your Man,Bobby Taylor & The Vancouvers,92,1968-08-05,1
5998,Time Has Come Today,The Chambers Brothers,95,1968-08-05,1
5999,Tell Someone You Love Them,"Dino, Desi & Billy",96,1968-08-05,1
6000,M'Lady,Sly & The Family Stone,97,1968-08-05,1
6001,Mister Nico,Four Jacks And A Jill,98,1968-08-05,1
6002,On The Road Again,Canned Heat,99,1968-08-05,1
6003,The House That Jack Built,Aretha Franklin,59,1968-08-12,1
6004,I Say A Little Prayer,Aretha Franklin,82,1968-08-12,1
6005,Hush,Deep Purple,83,1968-08-12,1
6006,Special Occasion,Smokey Robinson & The Miracles,87,1968-08-12,1
6007,Girl Watcher,The O'Kaysions,89,1968-08-12,1
6008,The Snake,Al Wilson,93,1968-08-12,1
6009,Little Green Apples,O.C. Smith,98,1968-08-12,1
6010,I've Gotta Get A Message To You,Bee Gees,99,1968-08-12,1
6011,Fly Me To The Moon,Bobby Womack,100,1968-08-12,1
6012,Harper Valley P.T.A.,Jeannie C. Riley,81,1968-08-19,1
6013,I Wish It Would Rain,Gladys Knight And The Pips,84,1968-08-19,1
6014,Six Man Band,The Association,89,1968-08-19,1
6015,Don't Change Your Love,Five Stairsteps & Cubie,90,1968-08-19,1
6016,In-A-Gadda-Da-Vida,Iron Butterfly,92,1968-08-19,1
6017,The Woman I Love,B.B. King,94,1968-08-19,1
6018,Who Is Gonna Love Me?,Dionne Warwick,96,1968-08-19,1
6019,Bring Back Those Rockabye Baby Days,Tiny Tim,97,1968-08-19,1
6020,The Funky Judge,Bull & The Matadors,98,1968-08-19,1
6021,She's About A Mover,Otis Clay,99,1968-08-19,1
6022,The Weight,Jackie DeShannon,100,1968-08-19,1
