,title,artist,rank,date,weeks
101,Let It Be Me,The Everly Brothers,76,1960-01-11,1
102,T.L.C. Tender Love And Care,Jimmie Rodgers,83,1960-01-11,1
103,"The Theme From ""A Summer Place""",Percy Faith And His Orchestra,96,1960-01-11,1
104,Let The Good Times Roll,Ray Charles,97,1960-01-11,1
105,Tell Her For Me,Adam Wade,98,1960-01-11,1
106,Bulldog,The Fireballs,99,1960-01-11,1
107,Teenage Hayride,Tender Slim,100,1960-01-11,1
108,Beyond The Sea,Bobby Darin,74,1960-01-18,1
109,Waltzing Matilda,Jimmie Rodgers,75,1960-01-18,1
110,Why Do I Love You So,Johnny Tillotson,84,1960-01-18,1
111,Am I That Easy To Forget,Debbie Reynolds,86,1960-01-18,1
112,Amapola,Jacky Noguez And His Orchestra,88,1960-01-18,1
113,Too Much Tequila,The Champs,89,1960-01-18,1
114,Cry Me A River,Janice Harper,91,1960-01-18,1
115,I Forgot More Than You'll Ever Know,Sonny James,95,1960-01-18,1
116,Up Town,Roy Orbison,96,1960-01-18,1
117,Time After Time,Frankie Ford,97,1960-01-18,1
118,The Happy Muleteer,Ivo Robic,99,1960-01-18,1
119,Since I Made You Cry,The Rivieras,100,1960-01-18,1
120,Midnite Special,Paul Evans,70,1960-01-25,1
121,Forever,The Little Dippers,77,1960-01-25,1
122,Baby (You've Got What It Takes),Dinah Washington & Brook Benton,79,1960-01-25,1
123,On The Beach,Frank Chacksfield And His Orch.,84,1960-01-25,1
124,Harbor Lights,The Platters,86,1960-01-25,1
125,My Little Marine,Jamie Horton,89,1960-01-25,1
126,I Can't Say Goodbye,The Fireflies Featuring Ritchie Adams,90,1960-01-25,1
127,I Was Such A Fool (To Fall In Love With You),The Flamingos,94,1960-01-25,1
128,Mediterranean Moon,The Rays,95,1960-01-25,1
129,I'll Take Care Of You,Bobby Bland,96,1960-01-25,1
130,Livin' Dangerously,The McGuire Sisters,97,1960-01-25,1
131,Secret Of Love,Elton Anderson With Sid Lawrence Combo,100,1960-01-25,1
132,Country Boy,Fats Domino,61,1960-02-01,1
133,China Doll,The Ames Brothers,70,1960-02-01,1
134,Lady Luck,Lloyd Price and His Orchestra,71,1960-02-01,1
135,Wild One,Bobby Rydell,72,1960-02-01,1
136,Let It Rock,Chuck Berry,81,1960-02-01,1
137,Time And The River,Nat King Cole,83,1960-02-01,1
138,That Old Feeling,Kitty Kallen,85,1960-02-01,1
139,Little Bitty Girl,Bobby Rydell,86,1960-02-01,1
140,Sixteen Reasons,Connie Stevens,89,1960-02-01,1
141,(There Was A) Tall Oak Tree,Dorsey Burnette,92,1960-02-01,1
142,Money (That's what I want),Barrett Strong,95,1960-02-01,1
143,Peace Of Mind,Teresa Brewer,96,1960-02-01,1
144,Fannie Mae,Buster Brown,97,1960-02-01,1
145,(Baby) Hully Gully,The Olympics,98,1960-02-01,1
146,The Whiffenpoof Song,Bob Crewe,100,1960-02-01,1
147,Eternally,Sarah Vaughan,61,1960-02-08,1
148,Delaware,Perry Como,71,1960-02-08,1
149,Bad Boy,Marty Wilde,90,1960-02-08,1
150,A Closer Walk,Pete Fountain,94,1960-02-08,1
151,I Know What God Is,Perry Como,95,1960-02-08,1
152,Don't Let The Sun Catch You Cryin',Ray Charles,98,1960-02-08,1
153,Honey Love,Narvel Felts,99,1960-02-08,1
154,Clementine,Jan & Dean,100,1960-02-08,1
155,Beatnik Fly,Johnny And The Hurricanes,69,1960-02-15,1
156,Outside My Window,The Fleetwoods,74,1960-02-15,1
157,"Too Pooped To Pop (""Casey"")",Chuck Berry,78,1960-02-15,1
158,Teensville,Chet Atkins,79,1960-02-15,1
159,Mumblin' Mosie,The Johnny Otis Show,80,1960-02-15,1
160,Baby What You Want Me To Do,Jimmy Reed,82,1960-02-15,1
161,Forever,Billy Walker,83,1960-02-15,1
162,(Do The) Mashed Potatoes (Part 1),Nat Kendrick And The Swans,84,1960-02-15,1
163,Just A Little Bit,Rosco Gordon,85,1960-02-15,1
164,You're My Baby,Sarah Vaughan,87,1960-02-15,1
165,What's Happening,Wade Flemons,97,1960-02-15,1
166,If You Need Me,Fats Domino,98,1960-02-15,1
